,time_received,counts,ti
355,1663418483.550751,30,2022-09-17 12:41:23.550750976
356,1663423565.951721,30,2022-09-17 14:06:05.951720960
357,1663424121.955152,30,2022-09-17 14:15:21.955152128
351,1663424130.072207,30,2022-09-17 14:15:30.072206848
358,1663427114.413509,30,2022-09-17 15:05:14.413508864
360,1663427160.409994,30,2022-09-17 15:06:00.409993984
361,1663427162.245616,30,2022-09-17 15:06:02.245615872
362,1663427163.846598,30,2022-09-17 15:06:03.846597888
363,1663427165.52633,30,2022-09-17 15:06:05.526330112
364,1663427167.927367,30,2022-09-17 15:06:07.927366912
365,1663427174.426261,30,2022-09-17 15:06:14.426260992
383,1663427186.766611,30,2022-09-17 15:06:26.766611200
359,1663427189.845844,30,2022-09-17 15:06:29.845843968
384,1663427199.58843,30,2022-09-17 15:06:39.588429824
394,1663446486.010079,30,2022-09-17 20:28:06.010078976
417,1663446492.768837,30,2022-09-17 20:28:12.768836864
416,1663491429.012592,30,2022-09-18 08:57:09.012592128
415,1663491429.420192,30,2022-09-18 08:57:09.420192000
414,1663491429.842757,30,2022-09-18 08:57:09.842756864
413,1663491430.265528,30,2022-09-18 08:57:10.265528064
412,1663491430.683826,30,2022-09-18 08:57:10.683825920
411,1663491431.112971,30,2022-09-18 08:57:11.112971008
410,1663491431.51156,30,2022-09-18 08:57:11.511559936
409,1663491431.929216,30,2022-09-18 08:57:11.929216000
408,1663491432.346811,30,2022-09-18 08:57:12.346811136
407,1663491432.770423,30,2022-09-18 08:57:12.770423040
406,1663491433.188318,30,2022-09-18 08:57:13.188317952
405,1663491433.608626,30,2022-09-18 08:57:13.608625920
404,1663491434.028632,30,2022-09-18 08:57:14.028631808
403,1663491434.547537,30,2022-09-18 08:57:14.547537152
402,1663491434.962906,30,2022-09-18 08:57:14.962905856
401,1663491435.387384,30,2022-09-18 08:57:15.387384064
387,1663491435.797198,30,2022-09-18 08:57:15.797198080
388,1663491436.213497,30,2022-09-18 08:57:16.213496832
389,1663491436.747021,30,2022-09-18 08:57:16.747021056
390,1663491437.364931,30,2022-09-18 08:57:17.364931072
391,1663491437.888918,30,2022-09-18 08:57:17.888918016
392,1663491438.310465,30,2022-09-18 08:57:18.310465024
386,1663491438.832797,30,2022-09-18 08:57:18.832796928
393,1663491439.244828,30,2022-09-18 08:57:19.244827904
395,1663491439.669241,30,2022-09-18 08:57:19.669240832
396,1663491440.085451,30,2022-09-18 08:57:20.085451008
397,1663491440.538581,30,2022-09-18 08:57:20.538580992
398,1663491441.029008,30,2022-09-18 08:57:21.029007872
399,1663491441.450129,30,2022-09-18 08:57:21.450129152
400,1663491441.856086,30,2022-09-18 08:57:21.856086016
385,1663491442.274494,30,2022-09-18 08:57:22.274493952
349,1663491442.693752,30,2022-09-18 08:57:22.693752064
315,1663491443.109773,30,2022-09-18 08:57:23.109772800
348,1663491443.528028,30,2022-09-18 08:57:23.528027904
312,1663491444.050876,30,2022-09-18 08:57:24.050875904
311,1663491444.467572,30,2022-09-18 08:57:24.467571968
310,1663491444.887463,30,2022-09-18 08:57:24.887463168
309,1663491445.300363,30,2022-09-18 08:57:25.300363008
308,1663491445.720118,30,2022-09-18 08:57:25.720118016
307,1663491446.141858,30,2022-09-18 08:57:26.141858048
306,1663491446.557471,30,2022-09-18 08:57:26.557470976
305,1663491446.980095,30,2022-09-18 08:57:26.980094976
304,1663491447.390464,30,2022-09-18 08:57:27.390464000
303,1663491447.816419,30,2022-09-18 08:57:27.816418816
302,1663491448.332495,30,2022-09-18 08:57:28.332494848
301,1663491448.750141,30,2022-09-18 08:57:28.750140928
300,1663491449.169525,30,2022-09-18 08:57:29.169524992
299,1663491449.582756,30,2022-09-18 08:57:29.582756096
298,1663491450.116021,30,2022-09-18 08:57:30.116020992
297,1663491450.523603,30,2022-09-18 08:57:30.523602944
296,1663491450.943042,30,2022-09-18 08:57:30.943042048
282,1663491451.361012,30,2022-09-18 08:57:31.361011968
283,1663491451.780503,30,2022-09-18 08:57:31.780503040
284,1663491452.198039,30,2022-09-18 08:57:32.198039040
285,1663491452.620181,30,2022-09-18 08:57:32.620180992
286,1663491453.141322,30,2022-09-18 08:57:33.141321984
287,1663491453.549382,30,2022-09-18 08:57:33.549381888
281,1663491453.971357,30,2022-09-18 08:57:33.971357184
288,1663491454.390291,30,2022-09-18 08:57:34.390290944
290,1663491454.809092,30,2022-09-18 08:57:34.809092096
291,1663491455.226133,30,2022-09-18 08:57:35.226132992
292,1663491455.648049,30,2022-09-18 08:57:35.648049152
293,1663491456.056088,30,2022-09-18 08:57:36.056088064
294,1663491456.477629,30,2022-09-18 08:57:36.477628928
295,1663491456.929909,30,2022-09-18 08:57:36.929908992
313,1663491457.414699,30,2022-09-18 08:57:37.414699008
289,1663491457.834416,30,2022-09-18 08:57:37.834415872
314,1663491458.36457,30,2022-09-18 08:57:38.364569856
324,1663491458.777628,30,2022-09-18 08:57:38.777627904
347,1663491459.202468,30,2022-09-18 08:57:39.202467840
346,1663491459.614059,30,2022-09-18 08:57:39.614059008
345,1663491460.130447,30,2022-09-18 08:57:40.130446848
344,1663491460.548801,30,2022-09-18 08:57:40.548801024
343,1663491460.970614,30,2022-09-18 08:57:40.970614016
342,1663491461.440982,30,2022-09-18 08:57:41.440982016
341,1663491461.908046,30,2022-09-18 08:57:41.908046080
23,1664496164.156898,30,2022-09-30 00:02:44.156898048
22,1664496165.994043,30,2022-09-30 00:02:45.994043136
21,1664496168.958217,30,2022-09-30 00:02:48.958216960
20,1664496171.453923,30,2022-09-30 00:02:51.453923072
19,1664496173.193892,30,2022-09-30 00:02:53.193892096
18,1664496176.490495,30,2022-09-30 00:02:56.490494976
17,1664496178.815818,30,2022-09-30 00:02:58.815817984
16,1664496182.43495,30,2022-09-30 00:03:02.434950144
2,1664496184.202763,30,2022-09-30 00:03:04.202763008
3,1664496185.974565,30,2022-09-30 00:03:05.974565120
4,1664496188.036586,30,2022-09-30 00:03:08.036585984
5,1664496190.034824,30,2022-09-30 00:03:10.034823936
6,1664496192.735035,30,2022-09-30 00:03:12.735034880
7,1664496194.414766,30,2022-09-30 00:03:14.414766080
1,1664496198.69357,30,2022-09-30 00:03:18.693569792
8,1664496200.475544,30,2022-09-30 00:03:20.475544064
10,1664496202.233455,30,2022-09-30 00:03:22.233454848
11,1664496204.016919,30,2022-09-30 00:03:24.016918784
12,1664496206.33339,30,2022-09-30 00:03:26.333390080
13,1664496208.896143,30,2022-09-30 00:03:28.896142848
14,1664496211.735831,30,2022-09-30 00:03:31.735831040
15,1664496214.956413,30,2022-09-30 00:03:34.956412928
33,1664496219.236579,30,2022-09-30 00:03:39.236578816
9,1664496221.515512,30,2022-09-30 00:03:41.515512064
34,1664496224.014305,30,2022-09-30 00:03:44.014305024
44,1664496225.716596,30,2022-09-30 00:03:45.716595968
67,1664496227.493537,30,2022-09-30 00:03:47.493537024
66,1664496229.316787,30,2022-09-30 00:03:49.316786944
65,1664496232.096268,30,2022-09-30 00:03:52.096268032
64,1664496233.83642,30,2022-09-30 00:03:53.836420096
63,1664496235.739385,30,2022-09-30 00:03:55.739384832
62,1664496238.397019,30,2022-09-30 00:03:58.397018880
61,1664496240.074278,30,2022-09-30 00:04:00.074278144
60,1664496241.818269,30,2022-09-30 00:04:01.818268928
59,1664496243.617089,30,2022-09-30 00:04:03.617089024
58,1664496245.337416,30,2022-09-30 00:04:05.337415936
57,1664496247.097768,30,2022-09-30 00:04:07.097768192
56,1664496248.83524,30,2022-09-30 00:04:08.835239936
55,1664496250.518354,30,2022-09-30 00:04:10.518353920
54,1664496252.358167,30,2022-09-30 00:04:12.358167040
53,1664496253.933593,30,2022-09-30 00:04:13.933593088
52,1664496255.693479,30,2022-09-30 00:04:15.693479168
51,1664496264.914777,30,2022-09-30 00:04:24.914777088
37,1664496267.896207,30,2022-09-30 00:04:27.896207104
38,1664496269.435204,30,2022-09-30 00:04:29.435204096
39,1664496271.11443,30,2022-09-30 00:04:31.114429952
40,1664496272.794308,30,2022-09-30 00:04:32.794307840
41,1664496274.498742,30,2022-09-30 00:04:34.498742016
42,1664496276.192374,30,2022-09-30 00:04:36.192374016
36,1664496281.837661,30,2022-09-30 00:04:41.837660928
43,1664496283.575257,30,2022-09-30 00:04:43.575257088
45,1664496285.316664,30,2022-09-30 00:04:45.316664064
46,1664496288.034922,30,2022-09-30 00:04:48.034921984
47,1664496290.5955,30,2022-09-30 00:04:50.595500032
48,1664496292.859501,30,2022-09-30 00:04:52.859500800
49,1664496295.05565,30,2022-09-30 00:04:55.055650048
50,1664496298.175432,30,2022-09-30 00:04:58.175431936
138,1664496300.753863,30,2022-09-30 00:05:00.753863168
70,1664496302.655587,30,2022-09-30 00:05:02.655587072
139,1664496304.351712,30,2022-09-30 00:05:04.351712000
210,1664496306.176694,30,2022-09-30 00:05:06.176694016
242,1664496307.876171,30,2022-09-30 00:05:07.876171008
241,1664496309.577801,30,2022-09-30 00:05:09.577800960
240,1664496311.336155,30,2022-09-30 00:05:11.336154880
239,1664496313.036708,30,2022-09-30 00:05:13.036708096
238,1664496314.878418,30,2022-09-30 00:05:14.878417920
237,1664496316.557433,30,2022-09-30 00:05:16.557432832
236,1664496318.297165,30,2022-09-30 00:05:18.297164800
235,1664496319.996894,30,2022-09-30 00:05:19.996893952
234,1664496321.719653,30,2022-09-30 00:05:21.719652864
233,1664496323.416883,30,2022-09-30 00:05:23.416882944
232,1664496325.217199,30,2022-09-30 00:05:25.217199104
231,1664496327.957832,30,2022-09-30 00:05:27.957832192
230,1664496330.577077,30,2022-09-30 00:05:30.577076992
229,1664496332.416923,30,2022-09-30 00:05:32.416923136
228,1664496334.155743,30,2022-09-30 00:05:34.155742976
